comment_1,comment_2,comment_3,comment_4,comment_5,comment_6,comment_7,comment_8,comment_9,comment_10,comment_11,comment_12,comment_13,comment_14,comment_15,comment_16,comment_17,comment_18,comment_19,comment_20,comment_21,comment_22,comment_23,comment_24,comment_25,comment_26,comment_27,comment_28,comment_29,comment_30,comment_31,comment_32,comment_33,comment_34,comment_35,comment_36,comment_37,comment_38,comment_39,comment_40,comment_41,comment_42,comment_43,comment_44,comment_45,comment_46,comment_47,comment_48,comment_49,comment_50,comment_51,comment_52,comment_53,comment_54,comment_55,comment_56,comment_57,comment_58,comment_59,comment_60,comment_61,comment_62,comment_63,comment_64,comment_65,comment_66,comment_67,comment_68,comment_69,comment_70,comment_71,comment_72,comment_73,comment_74,comment_75,comment_76,comment_77,comment_78,comment_79,comment_80,comment_81,comment_82,comment_83,comment_84,comment_85,comment_86,comment_87,comment_88,comment_89,comment_90,comment_91,comment_92,comment_93,comment_94,comment_95,comment_96,comment_97,comment_98,comment_99,comment_100
新聖楊醫生才是正宗喔,雅丰張松源，我給他做二次隆乳你可以我，我之前有發過分享，我重作前胸有水波紋，水滴換魔滴做完觸感蠻的重點有對稱也沒有奇怪的紋路,現在很多間醫美都可以線上諮詢了，才剛問完跟儷人，但我問眼睛路過,楊諮詢完要等三個月才排得到刀很多等不了的都轉去女醫生但我覺得兩個醫生作品風格還是有差異,先線上諮詢看看也省時間，我也在雅丰隆乳，術後還回診按摩跟吃中藥調身體,楊醫生目前不接台中以外的診,推可以去問張松源醫師我覺得張蠻專業講解也很仔細有考量到我的胸廓做出來是我喜歡的大小跟型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
請教醫生+謝謝樓主回覆,你好我想詢問費用,,好成功可以詢問費用嗎您好可否請教是哪一位醫生呢真的好成功,,,問題可能不在眼皮，而是額頭皮鬆垮了。可以考慮抬眉或者額頭填充。,,,單看這樣覺得需要抽眼皮脂肪有泡泡眼的感覺,今天縫完了，有在跟醫師現場討論，縫前窄後寬的，縫完沒瘀青，跟我以前在信望愛縫的有差，技術真的好因為我是重逢的，有多加，總共萬新聖楊醫師哦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
成功路全美開很久了某樓說的似乎是新手,好慘幫台南人,我妹在依Ｘ琦找王醫師割的，原本他想用縫的，但醫生覺得他皮太多叫他用割的我覺得很好看，一週就拆線很自然了,台南沒有名醫建議去外縣市,我給李宗瀚割+提，自然深邃也沒被發現,朋友去過非凡尚水找蔡醫師重修(別家縫結果掉針)，割完變超美，而且很自然,推非凡朱醫師,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
先去大醫院整外照光或暸解狀況，不嚴重會自然恢復的可以用健保不必自費,去找耳鼻喉科看一下不用找整外，鼻構造專業耳鼻喉還是比整外更強,發問還要版友已經你爬文以前照片，我看你還是別問了*自己,頸對不起，不小心按到手機，囧,林口長庚有整型外傷科,先去醫院看會比較好,題外，妳之前的文都修掉了沒照片呀沒關係啦如果在這邊有人能幫助到妳解決問題比較重要加油@@,了沒照片篇數很多都沒看到,謝謝大家的建議，我先就近找個醫院照一下斷裂狀況。不好意思樓上兩樓，之前因為有同事跟我說會看我發文所以我害羞把照片撤掉了然後很久以前撤掉照片自己都忘了，抱歉現在大家回去找我文章也看不到之前的鼻子謝謝，已經心理建設好最差的結果了，應該會帶媽媽去給醫生拍照說要跟媽媽做一樣，但我會先去照光的，謝謝大家,一定要去看醫生我也是天生挺鼻、偏大，小時候被躲避球砸傷，雖然很痛，但外觀沒有異樣，就放著讓它自己好，長大後一直覺得鼻子微歪(尤其鼻子偏大所以自己覺得滿明顯)。後來遇到專業的醫生，說雖然內傷自己痊癒了，但疤痕組織會攣縮，才會讓鼻子變歪。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,好看但這篇有幾位是被縫一高一低,話說我就是縫完後蠻明顯一高一低所以有回去補縫就是了,,,,,樓上大那篇剛好我是原,自然不過之後掉下來可能會更窄喔會更自然,,,,,我會覺得你原本的眼睛比較有個人特色,，不要,,你的眼型不適合，、都可,會選,我會選，的話眼角會有摺痕哦(我個人在諮詢的時候是蠻在意眼角摺痕的部分)又再仔細看了一次照片，不確定的眼角是否有兩條摺痕，但還是提醒原注意一下@@,選比較有神,,,原本比較好看，有雙眼皮感覺有點鬥雞眼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
最近真的好常看到柔滴但我還是偏觀望之前看過柔滴的案例不知道是做太大還是怎樣覺得奶底盤很寬看起來很像阿姨個人還是偏好水滴狀的胸型,去君給院長諮詢看看吧我覺得很專業，我自己最後是選了魔,柔滴破裂機率好像偏高欸價格也才差萬安全卻遠比不上魔滴我完全不會考慮,每個人喜歡的不一樣自己摸過比較準,魔滴吧做起來真的很飽滿很好看而且站著時是很自然的水滴型躺平還會往外擴超喜歡我都沒按摩沒特別照顧一樣恢復的好好的懶人可推,觸感真的很主觀，就像有些人覺得魔滴稍硬，但我上次才去診所摸過魔滴，一摸就愛上觸感軟軟很像真實脂肪很對我胃口，光滑太軟了直接被我打槍，之後準備要預約做魔滴,魔滴按摩個人認為是加速軟化不按也沒差,為什麼要追蹤,朋友是在非凡尚水做，效果蠻不錯的，好像也沒有特別按摩，最後的狀況不錯，你可以去諮詢看看,最近一堆分享成功案例，好燒火，我覺得在這邊問不如去跟醫生好好諮詢，畢竟每個人條件不同,目前很多隆乳案例來看還是魔滴的胸型比較美，躺下來時比較不像水滴往外擴散開我是前年找教主邱智弘做，你可以參考看看,最近對隆乳有一定的研究做了很多功課跟和醫生諮詢我個人推薦做魔滴如果皮下組織不是太薄太平的話很多人會因為光滑最軟而去選擇但其實會影響軟度的條件不是單看假體本身而已而且光滑長年下來夾膜重修的機率還是太高了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
元和雅游瑞欽醫師、柯安達醫師,沐妍技術很讚的程以長醫師人非常,當時是去台南找周杰醫師，做到目前相當滿意^_^,沐妍診所推薦程醫師他的技術很好過程都不太會痛我超滿意我術後的樣子,大昌醫院黃昱豪醫師,姚勝發不錯，作了年到現在滿意,高雄首推揚藝美學賴慶鴻,當然是法喬邱醫師,我推熱河診所，做玻尿酸填充效果很推,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不埋線+,侵入式的真的不敢嘗試前陣子看朋友去愛爾打音波，覺得效果不錯，最近疫情緩下來了有點想跟上,我個人蠻推鳳凰電波，但單價比較高，我在打之前也很擔心效果普通錢會不會就放水流，所以是有特別諮詢好幾家，最後是在雅丰給皮膚科醫師打的，諮詢時有很明確點出我皮膚狀況，也針對一些地方建議我特別加強，在發數的控制跟規劃上我覺得蠻仔細，我也按照他們的控制跟規劃上我覺得蠻仔細，我也按照他們的建議去做術後保養，目前維持的狀況還蠻好的,沒打過鳳凰但我覺得埋線效果不錯啊是立即就有感，但真的蠻痛的就是了,我自己也不是埋線派的，不過為什麼原玻尿酸會瘀青這麼久啊@@好奇怪喔然後鳳凰的話比黃金不痛很多很多非常多，如果預算可以的話，我覺得可以直上鳳凰然後我去年是在楊仕安醫師那邊打的，之前有發文過，可以搜尋我的心得。這個月我會再去打第二次,建議打鳳凰鳳凰我是選美之約,請問絕對不埋線派的理由是什麼,絕對不考慮埋線,我推綺的鳳凰，我打發有感,電波才是爆炸痛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在那邊做的覺得手術偏保守,我在君做的，可以找院長諮詢看看，大概兩週我眼睛就很自然了,在高雄嗎可以詢問-家醫師，可能會有不同的見解與施作方式，我是給賴慶鴻做小切口，預算夠可以多比較,推台南文華尚水的朱醫師他的技術很好而且手術完的雙眼皮高度很自然連素顏的時候也不會覺得假假的雙眼皮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
最近好像越來越多玻尿酸品牌了,我都打水無痕玻尿酸這牌打起來很自然又不會不舒服,我的淚溝打瑞絲朗,"若是以玻尿酸注射來改善淚溝，一般可以達到成以上的改善幅度，而且立即有效沒有恢復期並且玻尿酸有保水作用，可以幫助淡化黑眼圈但是，玻尿酸注射在淚溝，臨床上是技術難度相當高的位置，建議一定要慎選有經驗的醫師，才能避免""毛毛蟲""的產生，確保注射的安全與效果至於品牌，建議以美國喬雅登及法國瑞絲朗為主，效期最久可長達年",淚溝的話我自己比較推薦打保柔緹不會產生毛毛蟲,熊貓針推打一針抵過一堆眼霜,玻尿酸對鼻子過敏揉眼睛造成的黑眼圈有效果嗎感謝大的回覆，一直打熊貓針感覺會很傷荷包啊（泣,看是哪一種類型，如果只是因為組織流失所導致的凹陷陰影，偏向結構型的黑眼圈，那麼填補之後可以達到一定程度的改善。水無痕玻尿酸可以，預算不夠的話也可以找同樣是凝膠式的愛霓密斯。但如果黑眼圈是色素型或是過敏導致的血管型黑眼圈，則可以參考膠原蛋白(熊貓針)，這幾個價格都還算親民只可惜打完熊貓針要跟玻尿酸隔一段時間，不然我都想打熊貓針的話就是一個養膚的概念，它算是定位比較特別的微整產品,雖然玻尿酸算是小醫美但是你除了考量品牌另外醫生的經驗跟技術也是該注意的重點,可以先去諮詢\聽完醫生建議再選擇品牌畢竟每個人狀況不同,打過喬雅登跟水無痕，比較喜歡水無痕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
你還可以再多諮詢幾位看看,同推大說的吳思衛，但我是預約他在首爾醫美的門診,我自己是朋友手術完很喜歡推我去諮詢，中山區極張醫師，諮詢的時候感覺醫師懂我在意的點，也有提出建議給我參考，再看看案例覺得就付訂金，做決定需要一些衝動,星采推吳思衛醫生給他縫過幾乎無痕很漂,手術內容一樣的情況下我會依照感覺選醫師基本上我只會諮詢擅長雙眼皮的醫師所以這兩位我不會是我諮詢的選項晶華美醫可以諮詢陳瑋農醫師他擅長雙眼皮,楊國輝這麼有名且案例很多怎麼不考慮,為何特別找網路案例不多的醫生,推薦張醫生我月中才給張醫生做縫雙眼皮，,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
推黃仁吳,給杜提眼肌不得不推長庚出來的老醫生經驗真的很穩後來姐妹也找他做眼袋手術,黃仁吳雖然嚴肅但技術真的不錯，而且他之前是醫院的整形外科主治醫生，我媽眼袋就是給他做的,推極緻杜隆成老醫生技術穩我內開請手術當天跟隔天加假日兩天休禮拜一回去上班諮詢我問小姐幫我約下班時段就沒特別請假,我是在君給蔡昀醫師做的耶我覺得很好阿可以去做，後悔沒早點做，現在看起來年輕超多,朋友眼袋也給林敬均做的真的不錯不然也可以先去諮詢再說*鈞,巨星林之前在板上有分享文很成功我之前看到也超生火的而且他待過長庚欸,我也推黃，嚴肅我覺得還好我是覺得很認真哈哈，真要說缺點就是我那時回診的時候人滿多的要等一下，現在疫情關係不太確定還是不是,可以不用舒眠麻醉，局麻就可以做了黃仁吳印象中是陽明醫學系+北榮出身的，之前有諮詢過他,我知道局麻就可以喔以前做雙眼皮局麻我已經緊張要死，若是開眼袋我應該會嚇到昏過去，所以希望以舒眠為主：）,推李台生簡單迅速有效不痛午休去做立刻回去上班都不會有人發現,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
推薦美塑館，抽的很漂亮,沒有做過這個，不過曾去雅典娜諮詢過別的，醫生電腦裡有很多案例給看，感覺不錯,推周醫師,真心推薦周醫師,大推蘇毓彬醫師腰部跟腹部雕得超讓我滿意,原問的這三個醫生，我在今年五月都有去諮詢過大腿環抽，但我最後是去台北找雷神抽了,大大推君蘇彬醫師，技術真的讚啦,周杰很讚,推高雄大同醫院的賴醫師,台南真的很推非凡尚水朱醫生,南部真的好少喔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
推胡醫師，人細心且很盡責,反推劉,我給做大小腿，快滿半年，可私我心得,一樓好像有掛難不成是我想的那樣,有朋友在金貞給陳煥棠教授做效果還不錯的樣子板上好像也有陳教授過去的文章可以看,是雅葳醫師嗎我是給她做抽脂豐胸的覺得效果不錯喔(我有文分享),我給抽兩個重點、要他願意抽，你沒被他退貨。、你約得到手術時間可以配合。以上兩點只要一點沒通過，你想抽也抽不了,我月剛給抽完大腿內外側非常滿意恢復很快兩週內瘀青全消,我是給胡抽，腹部跟大腿分兩次抽補胸，術後照顧很仔細，不過不太可能、到喔大概是褲子尺碼小個一到兩號,我也是推，也是診所體驗不成正比，但考量畢竟是手術，重要的是醫師，所以最後選擇忽略缺點了,分開做一起做很痛苦不過熬過了就香了但腿真的太難受,我給胡醫師抽過價錢實在蠻滿意,我剛給號抽完，但心得不方便在版上說有想了解再問我吧,我給抽，恢復很快效果也好,、我都有做過，如果需要可以私我,推但診所體驗不佳,推胡醫師+,推馮醫師，抽完修復期很短，很自然、完全就是我要的樣子,我找做的，剛寫完分享文，可參考,馮真的是自然派不會把妳抽乾線條還是順的另外到個人覺得不管哪個醫師都無法吧,我給蔡醫師做胸部大了一個多罩杯，腿也`瘦的明顯很滿意,上個月才找抽完，我倒是沒有樓上幾位的感受，未來如果要做什麼其他手術還是會在這間做選擇吧,我給抽腹部環抽抽了五千，後面復原狀況也很好,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
價格偏高，玻尿酸填淚溝長久小心變毛毛蟲或者下眼周藍藍的,瑞斯朗是顆粒型的還是女神動態如果是瑞斯朗建議選擇後者比較好。然後如果過敏體質嚴重，要有心理準備淚溝的填補對於黑眼圈的改善較為有限，所以自身的期望要拿捏一下喔還有醫師的技術也很重要，打到不對的層次或是劑量拿捏不好，就會有毛毛蟲或是廷得耳效應，但如果技術經驗豐富，其實玻尿酸可以被代謝，還算是滿安全的,我打瑞絲朗效果很好也沒有眼下毛毛蟲找有經驗的醫生很重要,瑞絲朗我覺得異物感很重淚溝我還是推水無痕比較不容易有毛毛蟲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
記得兩個不同牌子玻尿酸有分顆粒型和凝膠型，我自己之前打下巴是打喬雅登，覺得蠻自然的。我沒打過瑞，但我覺得打喬沒移位,看起來假不假應該跟技術比較有關我看朋友打晶亮瓷就滿自然的，而且我有陪他去諮詢，醫生說現在已經有研究證實它不會殘留哦,我是聽醫生建議打瑞絲朗，很自然也沒腫脹,不推喬雅登，打完腫得像麵包超人，我後來改用水無痕撐得一樣久，也沒腫得那麼誇張,原後來決定是什麼我是喬雅登和瑞絲朗在猶豫，朋友兩個都打過說瑞比較持久，而且我看他打完效果很好就有點想打瑞絲朗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我術前也都是面對諮詢師，因為醫師太忙到手術當天才跟醫師討論、再次確定手術方式，手術前我壓力超大都睡不好，但慶幸是我沒遇到什麼事，但如果是像一些人體質修復時間比較長，可能會比較辛苦,我大概諮詢了間，才決定找陳坤醫師做，覺得他的態度很親切，有疑問也都會耐心解說，建議隆乳還是要多看幾間再決定,多問幾家一定比較好,在如一做完兩個月，效果很滿意，醫生麻醉師櫃檯都很親切,之前有去至誠整形外科診所諮詢過，諮詢的時候也會建議我說沒必要或是找比較適合的方法給我，整體體驗很棒，已準備去,蕭醫師有諮過了也在考慮名單中下週會去雅丰諮詢，有空再分享諮詢心得,這幾間評價都很好可以多諮詢啊，我自己問家，因為怕問太多反而更難選，但問到第家左右會更了解自己真正的需求,除了醫師隆乳技術外，我也很看重診所診所是否有專業的麻醉專科醫師，可以先查一下診所官網的醫師團隊裡有沒有麻醉專科醫師喔,我是在雅丰術前諮詢有讓我看電腦模擬原本想做自體脂肪隆乳，但因為我太瘦醫師評估要補到我想要的大小，脂肪量會不夠，後來我是做魔滴，像回診追蹤都有見到醫師還讓我打修護點滴和按摩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
先運動比較快，再來雕塑,愛麗有個東西叫塑立纖，就是非侵入式的類似體雕，但有醫美效果可以減少脂肪數，術後多喝水代謝就好,有在運動的話可以試在維格做完有比較緊實,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我下禮拜有預約去凡登諮詢欸之後再來分享,推薦群英蘇瑋智醫師，我朋友生兩胎給他抽大腿和肚子(有加腹拉)，術後超妖孽，太滿意最近還放在台北車站做廣告，我已經預約月底跟進了,我在恆麗美型，給蔡醫師抽脂大腿，很滿意,你可以去欣莘診所諮詢劉醫師技術很不錯,要說技術當然推凡登馮院長啊人超好的,也去極緻抽+是給張醫師抽脂項目很吃美感可以多聽幾位醫師的意見，再決定,我是找馮醫師抽臀部，完全就是我想要的樣子，很自然,可以找凡登馮醫師，我姐是找他抽腹部，現在看起來完全不像有生過小孩,周杰醫師可以去諮詢看看，現在在台北慕顏,古亭吳孟穎技術還不錯搭配超能電漿完全看不出生過孩子,我給新顏胡醫師手術線條很滿意,我也是很推欣莘,首爾的余醫生蠻會做抽脂的，我朋友也是生完後身材變形，後來給余醫生抽肚子然後補胸效果很好現在完全看不出來她生過小孩很羨慕,凡登馮醫師我給他抽大腿，效果我超滿意,雷神七月剛抽完大腿恢復期一週超滿意,推極緻陳昱帆我做大腿環抽消腫完視覺瞬間縮水好幾號大腿外側接臀部醫師也有幫我順修不會看起來卡肉,我是找馮醫師做的，很滿意，之前有寫過分享文可,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,我也有蒙古摺但本人不在乎,,,,乾淨,和眼頭都有蒙古折阿明顯不行,,,,,喜歡中間那個,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我醫師朋友是推薦群英的林雍球醫師，說他慢工出細活,萊佳許英哲醫師有來台中開了可以找他諮詢如果希望一次到位的話他的技術跟審美都是走在最前端的,只能提醒原如果有去臉書醫美整形社團搜尋，留言如果是一面倒的好評不要輕信，很多配大軍,我是找朱立*箴醫師幫我做朱技術很好做完後很自然我有分享過,推美麗線陳雍元，專門做高難度的鼻整形重建，之前在國泰醫院也很多人找他手術,不是每間診所都有模擬有些是確定手術才有有些是另外收費記得台中格嘉是諮詢時就有也做蠻多隆鼻,建議要現場諮詢過再決定，魔鬼藏在細節裡阿,真的美麗線的陳醫生真的很細心會清楚說明手術狀況這點跟其他醫師很不同,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我朋友是做自體脂肪，形狀還不錯有讓我吸引。,姐姐沒找馮醫師嗎,產後特別第二胎哺乳後胸部真的會有大小奶就算了皮被好鬆,如果有下垂建議用假體，可以稍微提乳喔我是給群英陳廣得醫師做魔滴加邊緣、上胸補脂，比生產前還漂亮，媽媽也可以很辣啦,前陣子看到影片，女方好像也是產後隆乳,女人的自信真的很重要尤其產後的媽媽，雖然我沒生過，但去凡登做過自體脂肪隆乳，是我要的自然效果，建議版主可以帶姊姊去問看看,我是給凡登的馮院長做的產後隆乳，目前快兩年維持得還是很好,我諮詢過林紹安、胡守丞、馮中和，目前整體感覺加起來較偏好馮，應該還會再諮詢幾家,家人是找陳坤醫師做的，我個人很推，做完後覺得人生不同了哈哈,我上週才去諮詢亞緻王醫師很有耐心，我終於搞懂魔滴、光滑、柔滴諮詢下來王醫師應該是我的首選,下垂好像只能靠假體撐我姐姐也是產後二年胸部還沒恢復找王亞我覺得摸起來蠻自然的,吳孟穎威塑抽脂，隆乳技術還不錯但自體脂肪好像要每年補脂可以先去做評估,佳思優我剛做完要看你姐有沒有親餵如果萎縮+下垂那只能靠假體撐沒辦法自體但還是建議先做好功課讓醫生評估可以多比較,我在桃園新顏胡醫師自體補脂效果不錯,我找王祥亞醫師不是做隆乳是做腋下，改日會分享（目前等回診），但衷心推薦，我找王祥亞醫師不是做隆乳是做腋下，改日會分享（目前等回診），但衷心推薦，他真的很古意很認真，是個好醫師,我最後是選知美院長做魔滴，有萎縮跟下垂還是假體比較撐得起來，可以先陪姐姐多諮詢，挑喜歡的醫師做胸部,也去凡登+而且在凡登諮詢過兩位醫師馮醫師跟吳醫師分別就是問自體脂肪隆乳跟果凍矽膠隆乳最後因為不考慮假體所以找馮做,最近也在觀望產後隆乳但也在找產後抽脂有沒有建議,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
補充蕭醫師是疫情前要拆線、目前因疫情改不用拆線的線（減少回診次數）所以才疑惑用的線不知道會不會影響成果也謝謝大家的心得還是有點選擇困難,想請問樓是單純抽眼袋沒有回推脂肪嗎有聽說這樣會凹陷不曉得是不是真的@@,推雅丰陳承謙我補完蘋果肌變有精神很多而且術後我還有回診所打點滴保養所以恢復的比我想像中快目前已做完一年效果還是很好,請問樓上給蕭醫師的做的眼袋需要拆線嗎剛沒看到原有提到不用拆謝謝,我去年是給黃仁吳醫師做眼袋，外開，眼下老老的皮都修掉了，現在眼下超平狀態也很好，主要是有兩個同事也是給黃醫師開眼袋，看到他們的術後所以我也比較放心，目前我是滿意的，分享給你哦,給做的補完的臥蠶我自己很喜歡,我年前是蕭醫師做的，眼袋內開+蘋果肌+眼窩補脂，這幾年不知道我開過的人，都說我保養的很好，殊不知凍齡的代價是需要小朋友的。。我媽看了我的成果，也是給她做外開加中臉拉提，快歲很多人都以為她快歲而已。我朋友跟我媽朋友都是看了我們做的成果去找蕭醫師諮商。我覺得當醫生技術都差不多時，就看你比較喜歡哪個醫生，以及價格還有診所位置方不方便而已。對了，我也是淚溝比眼袋嚴重，所以是抽大腿脂肪去補。一般說內開就是眼袋脂肪夠且會回推只有像我這種眼袋一點點，淚溝深才需抽脂來補，通常會順便補其他地方。有拆線，但拆線很快，也沒什麼感覺。,想知道+,荊醫師技術很棒，術後也維持的很好，不用拆線很方便（沒得比較拆不拆線的差別）諮詢師的態度不該是主要的考量點，重點是醫師給妳的感覺是否專業信賴,我媽之前給號黃醫師做過，做完我媽那裡的親戚都覺得回春很多，他是真的專業又有自信，然後我也建議找有專業麻醉醫師比較好,鄭言醫生眼袋開得很好，月的時候帶我媽去開(我們去的是新竹關心路上的首)，一個禮拜就恢復而且也沒有內凹的狀況而且做完後眼下細紋也有消,我是給晶華徐醫師做眼袋耶很好啊,我去年有諮詢過蕭醫師和徐醫師，都不錯但遲遲還沒有決定要選誰，今年也想在諮詢其他醫師,補蘋果肌補不好絕對是個災難我朋友找本版知名醫師做眼袋+抽脂肪補淚溝和蘋果肌，結果淚溝內側兩坨凸凸的，已兩年，無解,我是給荊醫師做的，縫線非常細可吸收可以減少眼皮刺激，回診照光有覺得恢復更快，有幫助消腫，做完現在要一年半也還是有維持住，眼袋真的要盡早做不然看起來只會更老更累而已,我是兩年前蕭醫生眼袋內開沒有補脂，蕭醫生人很好，我術後也無任何不適或後遺症，目前保持良好，真的是開完再回去看以前照片會覺得以前的自己到底怎麼了阿抱歉沒注意到你是需要補脂得心得@@,推杜隆成蘋果肌固定線術後五天拆自己覺得拆線沒什麼影響第五天都還脹看兩周後比較準的話就一直到三個月回診都很,推極緻杜醫師，杜眼部手術處理都蠻專業的，我自己給杜做提眼肌，後來跟朋友推薦她去處理淚溝+補蘋果肌，她迪卡有發分享貼給妳她蘋果肌有縫線固定，術後一周內拆線,我也是疫情期間找蕭醫師進行完眼袋補脂手術，也有諮詢徐醫師，感覺也很好，但看了蕭醫師後，就馬上下訂，我也是淚溝比較明顯，需要抽脂補蘋果肌，雖然價位比較高但覺得沒後悔喔,也想知道+,有專業的麻醉科醫師很重要+線應該是美容線的話都能吸收吧另外我也在觀望一個名單外的台北巨星林敬鈞,我之前諮詢黃醫師說不用拆線耶但我已經約了月中要做，好緊張,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雅文皮膚科黃千耀會不會瘀青跟醫生施打的技術有很大的關係體質是其次吧我打完是沒什麼瘀青現在半年了還是維持得很好,我也想知道，但是玻尿酸不是維持的時間不久，變得要定期去打,給黃千耀醫生打的哦在中和環球對面對喔黃禎憲皮膚科那邊也可以打看地點方便啦我是去雅文比較多開車可以停環球順便吃飯哈哈阿對打玻尿酸可以先去粉專約時段再去,我住中和但我還是去君台北打玻尿酸，我還是比較重視技術跟品牌哈哈,永和奧蕾莉可諮詢看看,其實現在打玻尿酸的人很多主要就是要考量醫生的技術吧黃真的不錯，之前去打過皮秒，皮膚專科對皮膚狀況掌握蠻的,晶漾楊院長技術不錯他幫我打水無痕觸感很自然也沒有你說的那種瘀青問題順便回樓上要但是比起沒有效的保養品定期打玻尿酸划算多了,推薦頂溪捷運站附近的美仁欣診所蔡院長。,樓上黃千耀是不是也有在黃禎憲皮膚科,台電大樓佳飛雅聽說最近醫美資深大老開始轉移到那邊，評價不錯,八個月補一次之類的,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
